pivot,inflection,P-I similarity,category
orar,oro,0.1253579246500931,V;IND;PRS;1;SG
orar,oras,0.37984165236631073,V;IND;PRS;2;SG;INFM
orar,orás,0.08880785508097688,V;IND;PRS;2;SG;INFM
orar,ora,0.4065052035736334,V;IND;PRS;3;SG
orar,ora,0.4065052035736334,V;IND;PRS;2;SG;FORM
orar,oramos,0.6092961126534407,V;IND;PRS;1;PL
orar,oráis,0.28925345801348046,V;IND;PRS;2;PL
orar,oran,0.597931091675508,V;IND;PRS;3;PL
orar,oraba,0.585724108250887,V;IND;PST;IPFV;1;SG
orar,orabas,0.3819866825095495,V;IND;PST;IPFV;2;SG;INFM
orar,oraba,0.585724108250887,V;IND;PST;IPFV;3;SG
orar,oraba,0.585724108250887,V;IND;PST;IPFV;2;SG;FORM
orar,orábamos,0.3665669632028422,V;IND;PST;IPFV;1;PL
orar,orabais,0.39010885698176234,V;IND;PST;IPFV;2;PL
orar,oraban,0.5799228801751576,V;IND;PST;IPFV;3;PL
orar,oraré,0.5908024699119805,V;IND;FUT;1;SG
orar,orarás,0.3951004263511977,V;IND;FUT;2;SG;INFM
orar,orará,0.5905911759342728,V;IND;FUT;3;SG
orar,orará,0.5905911759342728,V;IND;FUT;2;SG;FORM
orar,oraremos,0.6449922896462045,V;IND;FUT;1;PL
orar,oraréis,0.4224296145176839,V;IND;FUT;2;PL
orar,orarán,0.5896659471893229,V;IND;FUT;3;PL
oler,huelo,0.5883825876157714,V;IND;PRS;1;SG
oler,hueles,0.591731773846541,V;IND;PRS;2;SG;INFM
oler,olés,0.2219466630405006,V;IND;PRS;2;SG;INFM
oler,huele,0.650226944590017,V;IND;PRS;3;SG
oler,huele,0.650226944590017,V;IND;PRS;2;SG;FORM
oler,olemos,0.5540899780491213,V;IND;PRS;1;PL
oler,oléis,0.32436329526271956,V;IND;PRS;2;PL
oler,huelen,0.633328499456825,V;IND;PRS;3;PL
oler,olía,0.5805916879803301,V;IND;PST;IPFV;1;SG
oler,olías,0.41412356630989033,V;IND;PST;IPFV;2;SG;INFM
oler,olía,0.5805916879803301,V;IND;PST;IPFV;3;SG
oler,olía,0.5805916879803301,V;IND;PST;IPFV;2;SG;FORM
oler,olíamos,0.4364982139673321,V;IND;PST;IPFV;1;PL
oler,olíais,0.3213496051112239,V;IND;PST;IPFV;2;PL
oler,olían,0.5081801964432413,V;IND;PST;IPFV;3;PL
oler,oleré,0.6154378634303843,V;IND;FUT;1;SG
oler,olerás,0.605053515167987,V;IND;FUT;2;SG;INFM
oler,olerá,0.6095445377293468,V;IND;FUT;3;SG
oler,olerá,0.6095445377293468,V;IND;FUT;2;SG;FORM
oler,oleremos,0.5985980244176988,V;IND;FUT;1;PL
oler,oleréis,0.43970934596223055,V;IND;FUT;2;PL
oler,olerán,0.6134180029150648,V;IND;FUT;3;PL
mandonear,mandoneo,0.5883364255623548,V;IND;PRS;1;SG
mandonear,mandoneas,0.5862447643249024,V;IND;PRS;2;SG;INFM
mandonear,mandoneás,0.6236731661126045,V;IND;PRS;2;SG;INFM
